"ensembl_gene_id","external_gene_name"
"437","ENSMUSG00000015749","Anp32e"
"438","ENSMUSG00000015750","Aph1a"
"439","ENSMUSG00000015759","Cnih1"
"440","ENSMUSG00000015787","Abo"
"441","ENSMUSG00000015850","Adamtsl4"
"442","ENSMUSG00000015854","Cd5l"
"443","ENSMUSG00000015890","Amdhd1"
"444","ENSMUSG00000015932","Dstn"
"445","ENSMUSG00000015943","Bola1"
"446","ENSMUSG00000015944","Castor2"
"447","ENSMUSG00000015961","Adss"
"448","ENSMUSG00000015968","Cacna1d"
"449","ENSMUSG00000015970","Chdh"
"450","ENSMUSG00000015971","Actr8"
"451","ENSMUSG00000016028","Celsr1"
"452","ENSMUSG00000016252","Atp5e"
"453","ENSMUSG00000016256","Ctsz"
"454","ENSMUSG00000016327","Atp1b4"
"455","ENSMUSG00000016356","Col20a1"
"456","ENSMUSG00000016477","E2f3"
"457","ENSMUSG00000016481","Cr1l"
"458","ENSMUSG00000016493","Cd46"
"459","ENSMUSG00000016494","Cd34"
"460","ENSMUSG00000016496","Cd274"
"461","ENSMUSG00000016526","Dyrk3"
"462","ENSMUSG00000016541","Atxn10"
"463","ENSMUSG00000016554","Eif3d"
"464","ENSMUSG00000016756","Cmah"
"465","ENSMUSG00000016758","Bik"
"466","ENSMUSG00000017132","Cyth1"
"467","ENSMUSG00000017146","Brca1"
"468","ENSMUSG00000017167","Cntnap1"
"469","ENSMUSG00000017188","Coa3"
"470","ENSMUSG00000017299","Dnttip1"
"471","ENSMUSG00000017307","Acot8"
"472","ENSMUSG00000017309","Cd300lg"
"473","ENSMUSG00000017390","Aldoc"
"474","ENSMUSG00000017412","Cacnb4"
"475","ENSMUSG00000017418","Arl5b"
"476","ENSMUSG00000017446","C1qtnf1"
"477","ENSMUSG00000017499","Cdc6"
"478","ENSMUSG00000017550","Atad5"
"479","ENSMUSG00000017561","Crlf3"
"480","ENSMUSG00000017631","Abr"
"481","ENSMUSG00000017652","Cd40"
"482","ENSMUSG00000017670","Elmo2"
"483","ENSMUSG00000017697","Ada"
"484","ENSMUSG00000017716","Birc5"
"485","ENSMUSG00000017718","Afmid"
"486","ENSMUSG00000017734","Dbndd2"
"487","ENSMUSG00000017760","Ctsa"
"488","ENSMUSG00000017776","Crk"
"489","ENSMUSG00000017778","Cox7c"
"490","ENSMUSG00000017830","Dhx58"
"491","ENSMUSG00000017929","B4galt5"
"492","ENSMUSG00000017978","Cadps2"
"493","ENSMUSG00000017999","Ddx27"
"494","ENSMUSG00000018001","Cyth3"
"495","ENSMUSG00000018008","Cyth4"
"496","ENSMUSG00000018042","Cyb5r3"
"497","ENSMUSG00000018126","Baiap2l2"
"498","ENSMUSG00000018340","Anxa6"
"499","ENSMUSG00000018372","Cep95"
"500","ENSMUSG00000018378","Cuedc1"
"501","ENSMUSG00000018381","Abi3"
"502","ENSMUSG00000018425","Dhx40"
"503","ENSMUSG00000018428","Akap1"
"504","ENSMUSG00000018442","Derl2"
"505","ENSMUSG00000018446","C1qbp"
"506","ENSMUSG00000018474","Chd3"
"507","ENSMUSG00000018481","Appbp2"
"508","ENSMUSG00000018500","Adora2b"
"509","ENSMUSG00000018509","Cenpv"
"510","ENSMUSG00000018541","Cwc25"
"511","ENSMUSG00000018559","Ctdnep1"
"512","ENSMUSG00000018565","Elp5"
"513","ENSMUSG00000018569","Cldn7"
"514","ENSMUSG00000018574","Acadvl"
"515","ENSMUSG00000018581","Dnah11"
"516","ENSMUSG00000018585","Atox1"
"517","ENSMUSG00000018648","Dusp14"
"518","ENSMUSG00000018661","Cog1"
"519","ENSMUSG00000018666","Cbx1"
"520","ENSMUSG00000018669","Cdk5rap3"
"521","ENSMUSG00000018672","Copz2"
"522","ENSMUSG00000018697","Aatf"
"523","ENSMUSG00000018707","Dync1h1"
"524","ENSMUSG00000018727","Cpsf4l"
"525","ENSMUSG00000018770","Atp5g3"
"526","ENSMUSG00000018774","Cd68"
"527","ENSMUSG00000018796","Acsl1"
"528","ENSMUSG00000018800","Abca5"
"529","ENSMUSG00000018821","Avpi1"
"530","ENSMUSG00000018907","Alox12e"
"531","ENSMUSG00000018909","Arrb1"
"532","ENSMUSG00000018916","Csf2"
"533","ENSMUSG00000018920","Cxcl16"
"534","ENSMUSG00000018924","Alox15"
"535","ENSMUSG00000018927","Ccl6"
"536","ENSMUSG00000018930","Ccl4"
"537","ENSMUSG00000018983","E2f2"
"538","ENSMUSG00000019027","Dnah1"
"539","ENSMUSG00000019039","Dalrd3"
"540","ENSMUSG00000019087","Atp6ap1"
"541","ENSMUSG00000019088","Dnase1l1"
"542","ENSMUSG00000019102","Aldh3a1"
"543","ENSMUSG00000019122","Ccl9"
"544","ENSMUSG00000019132","BC005537"
"545","ENSMUSG00000019146","Cacng2"
"546","ENSMUSG00000019210","Atp6v1e1"
"547","ENSMUSG00000019214","Chtf18"
"548","ENSMUSG00000019256","Ahr"
"549","ENSMUSG00000019278","Dpep1"
"550","ENSMUSG00000019302","Atp6v0a1"
"551","ENSMUSG00000019326","Aoc3"
"552","ENSMUSG00000019362","D8Ertd738e"
"553","ENSMUSG00000019370","Calm3"
"554","ENSMUSG00000019373","Cops3"
"555","ENSMUSG00000019432","Ddx39b"
"556","ENSMUSG00000019467","Arhgef25"
"557","ENSMUSG00000019471","Cdc37"
"558","ENSMUSG00000019489","Cd70"
"559","ENSMUSG00000019494","Cops6"
"560","ENSMUSG00000019518","Ap4m1"
"561","ENSMUSG00000019564","Arid3a"
"562","ENSMUSG00000019590","Cyb561"
"563","ENSMUSG00000019659","Ccdc12"
