"logFC.X1","logFC.X2","logFC.X3","logCPM","F","PValue","FDR","Symbol","ENSEMBL","celltype"
"ENSMUSG00000029816.monocyte",1.4680563331334,6.93000701159059,1.82108640785283,4.06812156529712,22.0091254532149,9.60908071607701e-08,0.00017244584374148,"Gpnmb","ENSMUSG00000029816","monocyte"
"ENSMUSG00000027469.endothelial",5.10085960224961,3.21280796574093,-0.749642430212514,3.32748759197081,23.6042735423581,1.00409261840923e-07,0.000177824802720274,"Tpx2","ENSMUSG00000027469","endothelial"
"ENSMUSG00000005233.hepatocyte",1.80480352162746,7.12861896678078,0.803819433574514,3.12044113798768,21.8239253278134,1.04732024055271e-07,0.000180795253417359,"Spc25","ENSMUSG00000005233","hepatocyte"
"ENSMUSG00000026622.endothelial",5.11612989565283,3.30582603371348,-0.992255222600422,1.28801379971352,21.8230859696684,1.04773022723959e-07,0.000180795253417359,"Nek2","ENSMUSG00000026622","endothelial"
"ENSMUSG00000005470.hepatocyte",1.65199540722153,10.2141383985629,1.52293649512704,0.311420844118484,21.7211844902594,1.0987983612104e-07,0.000186977341145384,"Asf1b","ENSMUSG00000005470","hepatocyte"
"ENSMUSG00000042489.stellate",1.55967671163536,9.59155977176601,-0.977116762091348,0.649901152511436,24.9065184033454,1.11133966028936e-07,0.000186977341145384,"Clspn","ENSMUSG00000042489","stellate"
"ENSMUSG00000027306.endothelial",6.01817413309625,3.17365103408205,-0.489715214611018,3.26156508898914,25.7315508505501,1.14627568349437e-07,0.000190474224562479,"Nusap1","ENSMUSG00000027306","endothelial"
"ENSMUSG00000017724.stellate",5.09450433877578,11.977713476439,-2.9210875580478,-2.2452760134268,21.4913729426317,1.2239671947367e-07,0.000200903766515587,"Etv4","ENSMUSG00000017724","stellate"
"ENSMUSG00000040809.monocyte",-3.70344574638191,-0.929612282837375,-3.08548219949601,6.9342210858399,21.4296176823859,1.26013437262977e-07,0.000204348248215031,"Chil3","ENSMUSG00000040809","monocyte"
"ENSMUSG00000028718.stellate",4.50880554620874,12.3559041649471,-1.48960706403488,-0.544709081927816,24.0586267234084,1.30554686971748e-07,0.000208272785029816,"Stil","ENSMUSG00000028718","stellate"
"ENSMUSG00000073705.stellate",1.58984797842385,9.27703677360163,-1.62706415146416,0.196012332235644,24.1232508153027,1.31528327197943e-07,0.000208272785029816,"Cenps","ENSMUSG00000073705","stellate"
"ENSMUSG00000015880.hepatocyte",2.95399553454817,9.33053146362023,1.43364450511974,0.19586947616611,21.2558784484762,1.36813301003818e-07,0.000209914219516124,"Ncapg","ENSMUSG00000015880","hepatocyte"
"ENSMUSG00000064356.stellate",4.37293805980623,3.99947844355753,0.502253859158282,3.63596595654,21.2533031385474,1.36980619406414e-07,0.000209914219516124,"ATP8","ENSMUSG00000064356","stellate"
